source,translated,context
RSS,RSS,
RSS Feed URLs,روابط تغذية RSS,
Rank,الترتيب,
Rate,المعدل,
Rating,التقييم,
Raw Data,البيانات الخام,
Raw Results,النتائج الخام,
Read Count,عدد القراءات,
Ready to Go!,جاهز للانطلاق!,
Real Estate,العقارات,
"Real-time KPIs: revenue pipeline, conversion rates, campaign ROI, CSAT scores — all in one view",مؤشرات أداء حية: مسار الإيرادات، معدلات التحويل، عائد الحملات، نتائج الرضا — الكل في عرض واحد,
"Real-time agent performance rankings, challenges, and badges",تصنيفات أداء الوكلاء الحية والتحديات والشارات,
Reason,السبب,
Rebalance Workload,إعادة توازن عبء العمل,
Rebalance workload across agents?,إعادة توازن عبء العمل عبر الوكلاء؟,
Rebalanced,تمت إعادة التوازن,
Recalculate Scores,إعادة حساب النقاط,
Received At,تم الاستلام في,
Recent Breaches,الانتهاكات الأخيرة,
Recent Communications,الاتصالات الأخيرة,
Recipient Count,عدد المستلمين,
Reel,ريل,
Reference,المرجع,
Reference DocType,نوع المستند المرجعي,
Reference Name,اسم المرجع,
Referral,إحالة,
Rejected,مرفوض,
Related,مرتبط,
Related Event,الحدث المرتبط,
Reminder,تذكير,
Replied,تم الرد,
Replied At,تم الرد في,
Reply Count,عدد الردود,
"Reply to customer queries in WhatsApp with templates, quick replies, and chatbot handoff",استجب لاستفسارات العملاء في واتساب بالقوالب والردود السريعة والتحويل للروبوت,
Reports,التقارير,
Repurposed Outputs,المخرجات المُعاد توظيفها,
Reputation,السمعة,
Reputation Engine,محرك السمعة,
Reputation Management,إدارة السمعة,
Request Type,نوع الطلب,
Resale Interest,اهتمام إعادة البيع,
Resolve customer issues fast with a 360° view of every interaction and automated workflows:,حل مشكلات العملاء بسرعة مع عرض 360° لكل تفاعل وسير عمل آلي:,
Resolved,تم الحل,
Respect per-event cooldown periods to prevent spam,احترام فترات الانتظار لكل حدث لمنع التكرار,
Respect per-event daily maximums,احترام الحد الأقصى اليومي لكل حدث,
"Respond to customer queries via WhatsApp with templates, chatbot handoff, and quick replies",استجب لاستفسارات العملاء عبر واتساب بالقوالب والتحويل للروبوت والردود السريعة,
Responded,تم الرد,
Responded At,تم الرد في,
Response,استجابة,
Response Configuration,تكوين الاستجابة,
Response Status,حالة الاستجابة,
Response Template,قالب الاستجابة,
Response Time,وقت الاستجابة,
Response Time (Minutes),وقت الاستجابة (دقائق),
Response Type,نوع الاستجابة,
"Response time SLAs with automatic escalation, breach alerts, and compliance reports",اتفاقيات وقت الاستجابة مع التصعيد التلقائي وتنبيهات الخرق وتقارير الامتثال,
Response time thresholds and escalation,حدود وقت الاستجابة والتصعيد,
Responses,الاستجابات,
Result,النتيجة,
Result Data,بيانات النتيجة,
Results,النتائج,
Results Found,النتائج المعثور عليها,
Results Processed,النتائج المعالجة,
Retail & E-Commerce,التجزئة والتجارة الإلكترونية,
Retention Alerts,تنبيهات الاحتفاظ,
Retry,إعادة المحاولة,
Retry Attempts,محاولات الإعادة,
Retry Attempts cannot be negative,محاولات الإعادة لا يمكن أن تكون سالبة,
Retry Attempts is set very high (>10). Consider reducing.,محاولات الإعادة مرتفعة جداً (>10). يُنصح بتقليلها.,
Retry Interval (min),الفاصل الزمني للإعادة (دقائق),
Retry Interval must be at least 1 minute,الفاصل الزمني للإعادة يجب أن يكون دقيقة واحدة على الأقل,
Revenue Analytics,تحليلات الإيرادات,
Revenue Attribution,إسناد الإيرادات,
Revenue Forecasting,توقعات الإيرادات,
Revenue Pipeline,مسار الإيرادات,
Revenue Threshold,حد الإيرادات,
Review,تقييم,
Review Content,محتوى التقييم,
Review Date,تاريخ التقييم,
Review Text,نص التقييم,
Review team metrics,مراجعة مقاييس الفريق,
Reviewer Name,اسم المُقيّم,
Reviews,التقييمات,
Reward,مكافأة,
Reward Badge,شارة مكافأة,
Reward Points,نقاط المكافأة,
Rewards,المكافآت,
Ringing,يرن,
Role Maps,خرائط الأدوار,
Room Title,عنوان الغرفة,
Room Url Key,مفتاح رابط الغرفة,
Rule,القاعدة,
Rule Name,اسم القاعدة,
Rule is disabled,القاعدة معطلة,
Rule {0} not found,القاعدة {0} غير موجودة,
Run,تشغيل,
Run Date,تاريخ التشغيل,
Run Script,تشغيل السكربت,
SLA & Quality,اتفاقية الخدمة والجودة,
SLA BREACHES,خروقات اتفاقيات الخدمة,
SLA Breached,اتفاقية الخدمة — منتهكة,
SLA Breaches,انتهاكات اتفاقية الخدمة,
SLA Compliance,الامتثال لاتفاقية الخدمة,
SLA Configuration,تكوين اتفاقية الخدمة,
SLA Deadline,موعد اتفاقية الخدمة,
SLA OK,اتفاقية الخدمة — جيد,
SLA Status,حالة اتفاقية الخدمة,
SLA Tracking,تتبع اتفاقية الخدمة,
SLA Tracking Enabled,تتبع اتفاقية الخدمة مفعّل,
SLA Warning Threshold (%),حد تحذير اتفاقية الخدمة (%),
SMS,رسالة نصية,
STREAK,سلسلة,
SaaS & Technology,البرمجيات كخدمة والتقنية,
Sales Activity,نشاط المبيعات,
Sales Agent Workspace,مساحة عمل وكيل المبيعات,
Sales Manager — Pipeline & Team Performance,مدير المبيعات — المسار وأداء الفريق,
Sales Manager — Team Analytics,مدير المبيعات — تحليلات الفريق,
Sales Manager — Team Dashboard,مدير المبيعات — لوحة الفريق,
Sales Manager — Your Pipeline,مدير المبيعات — مسارك,
Sales Manager → receives your qualified leads | Customer Service → uses your content for support | General Manager → tracks your spend vs revenue,مدير المبيعات → يستلم عملاءك المؤهلين | خدمة العملاء → تستخدم محتواك للدعم | المدير العام → يتابع إنفاقك مقابل الإيرادات,
Sales Manager → you protect their closed deals | Marketing → you provide upsell opportunities | General Manager → sees CSAT scores and retention metrics,مدير المبيعات → تحمي صفقاته المغلقة | التسويق → توفر فرص البيع الإضافي | المدير العام → يرى نتائج الرضا ومقاييس الاحتفاظ,
Sales User,مستخدم المبيعات,
"Sales conversion, marketing ROI, service CSAT, and agent productivity — all in one view",تحويل المبيعات وعائد التسويق ورضا الخدمة وإنتاجية الوكلاء — الكل في عرض واحد,
Satisfaction Surveys,استبيانات الرضا,
Saturday,السبت,
Schedule,الجدول,
Schedule posts across social platforms with AI-generated content suggestions,جدول المنشورات عبر المنصات الاجتماعية مع اقتراحات محتوى بالذكاء الاصطناعي,
Scheduled,مُجدول,
Scheduled At,مجدول في,
Scheduled Datetime,تاريخ ووقت مجدول,
Scheduled time for next retry attempt,الوقت المجدول لمحاولة الإعادة التالية,
Score,النقاط,
Score Decay After (Days),تناقص النقاط بعد (أيام),
Score Decay Points/Day,نقاط التناقص/اليوم,
Score History,سجل النقاط,
Score History -,سجل النقاط -,
Score Logs,سجلات النقاط,
Scorecard recalculated for {0},تم إعادة حساب بطاقة الأداء لـ {0},
Scorecards recalculated for {0} agents,تم إعادة حساب بطاقات الأداء لـ {0} وكيل,
Scoring,التسجيل,
Scoring Configuration,تكوين التسجيل,
Scoring Criteria,معايير التسجيل,
Scoring Rule,قاعدة التسجيل,
Scoring Rules,قواعد التسجيل,
"Scoring, SLA, distribution toggles",مفاتيح التسجيل واتفاقية الخدمة والتوزيع,
Script shown to agent during calls with contacts in this classification,السكربت المعروض للوكيل أثناء المكالمات مع جهات الاتصال في هذا التصنيف,
Script template shown to agent. Supports Jinja with contact fields.,قالب السكربت المعروض للوكيل. يدعم Jinja مع حقول جهات الاتصال.,
Script/template to display to agent during call,السكربت/القالب المعروض للوكيل أثناء المكالمة,
Search Configuration,تكوين البحث,
Secondary Field,الحقل الثانوي,
Secret Badge,شارة سرية,
Secret badge — keep playing to discover!,شارة سرية — استمر باللعب لاكتشافها!,
"See every call, email, WhatsApp message, meeting, and deal in one chronological view",شاهد كل مكالمة وبريد ورسالة واتساب واجتماع وصفقة في عرض زمني واحد,
"See how AuraCRM compares to leading CRM platforms in features, flexibility, and total cost of ownership.",شاهد كيف يقارن AuraCRM مع منصات CRM الرائدة في الميزات والمرونة والتكلفة الإجمالية للملكية.,
See who's active and who needs coaching with real-time activity feeds,شاهد من نشط ومن يحتاج تدريب مع تغذيات نشاط حية,
Seed Defaults,تهيئة القيم الافتراضية,
Seeded,تمت التهيئة,
Segment,شريحة,
Segment Name,اسم الشريحة,
Segments,الشرائح,
Segments & Templates,الشرائح والقوالب,
Selected Assets,الأصول المختارة,
Send Email,إرسال بريد إلكتروني,
Send Notification,إرسال إشعار,
Send SMS,إرسال رسالة نصية,
Send WhatsApp,إرسال واتساب,
"Send bulk WhatsApp messages with templates, personalization, and opt-out handling",أرسل رسائل واتساب جماعية بالقوالب والتخصيص وإدارة إلغاء الاشتراك,
Sending,جارٍ الإرسال,
Senior,كبير,
Seniority,الأقدمية,
Sent,مُرسل,
Sent Count,عدد المرسل,
Sentiment,الشعور,
Sentiment Analysis,تحليل المشاعر,
Sentiment Filter,فلتر الشعور,
Sequence,التسلسل,
Sequence Name,اسم التسلسل,
Sequence Steps,خطوات التسلسل,
Sequence activated,تم تفعيل التسلسل,
Sequence can only be activated from Draft or Paused status,يمكن تفعيل التسلسل فقط من حالة المسودة أو المتوقف مؤقتاً,
Service Ticket,تذكرة خدمة,
Service Tickets,تذاكر الخدمة,
Set Field Value,تعيين قيمة الحقل,
Set gamification challenges!,حدد تحديات التحفيز!,
Set response time SLAs and get alerts before breaches happen,حدد اتفاقيات وقت الاستجابة واحصل على تنبيهات قبل حدوث الخروقات,
Set up SLA Policies,إعداد سياسات مستوى الخدمة,
Set up lead scoring rules,إعداد قواعد تسجيل العملاء المحتملين,
"Set up rules to auto-assign leads by territory, workload, skill level, or round-robin",أنشئ قواعد لتوزيع العملاء تلقائياً حسب المنطقة أو الحمل أو المهارة أو بالتناوب,
Settings & Configuration,الإعدادات والتكوين,
Settings Hub,مركز الإعدادات,
Shield,Shield,
Shift Name,اسم المناوبة,
Shift Timing,توقيت المناوبة,
Shift overlaps with {0} ({1} - {2}),المناوبة تتداخل مع {0} ({1} - {2}),
Short,قصير,
Show Campaign Information,إظهار معلومات الحملة,
Show Contact History,إظهار سجل جهة الاتصال,
Show Last Call Summary,إظهار ملخص آخر مكالمة,
Show Lead Score,إظهار نقاط العميل المحتمل,
Show Rank Changes,إظهار تغييرات الترتيب,
Show SLA Status,إظهار حالة اتفاقية الخدمة,
Show Top N Agents,إظهار أفضل N وكيل,
Show confetti / toast on milestone achievements,إظهار احتفال عند الإنجازات,
Show realtime toast when points are earned,إظهار إشعار فوري عند كسب النقاط,
Show warning when this percentage of SLA time has elapsed,إظهار تحذير عند انقضاء هذه النسبة من وقت اتفاقية الخدمة,
"Shown to agents, e.g. 'Calls over 3 minutes earn 1.5× points'",يُعرض للوكلاء، مثال: 'المكالمات أكثر من 3 دقائق تكسب 1.5× نقاط',
Shown when badge is earned. Supports {{ agent_name }},يُعرض عند الحصول على الشارة. يدعم {{ agent_name }},
Shows,يعرض,
"Side-by-side performance metrics for sales, marketing, and service teams",مقاييس أداء جنباً إلى جنب لفرق المبيعات والتسويق والخدمة,
Silver,فضي,
Skills,المهارات,
Skipped,تم التخطي,
Skipped-Holiday,تم التخطي-عطلة,
Smart Distribution,التوزيع الذكي,
Smart Lead Distribution,التوزيع الذكي للعملاء المحتملين,
Snapchat,سناب شات,
Snippet,مقتطف,
Social & Content,الاجتماعي والمحتوى,
Social Account,حساب اجتماعي,
Social Comment,تعليق اجتماعي,
Social Mention,ذكر اجتماعي,
Social Performance,الأداء الاجتماعي,
Social Post,منشور اجتماعي,
Social Profiles,الملفات الاجتماعية,
Softphone not available,الهاتف الرقمي غير متاح,
Sold Post Language,لغة منشور البيع,
Sold via Us,بيع عن طريقنا,
Sold-Proof Platforms,منصات إثبات البيع,
Source,المصدر,
Source Url,رابط المصدر,
Spam,بريد مزعج,
Special,خاص,
Stability AI API Key,مفتاح API Stability AI,
Stage,المرحلة,
Stale (>30d),راكد (>30 يوم),
Stale Leads,العملاء المحتملين الراكدين,
Start Date,تاريخ البدء,
Start Time,وقت البدء,
Start using AuraCRM to see the module map.,ابدأ باستخدام AuraCRM لمشاهدة خريطة الوحدات.,
Statistics,الإحصائيات,
Status,الحالة,
Status Changed,تم تغيير الحالة,
Status Filter,فلتر الحالة,
Step History,سجل الخطوات,
Step Name,اسم الخطوة,
Step Order,ترتيب الخطوة,
Step {0} must have a channel,الخطوة {0} يجب أن تحتوي على قناة,
Steps,الخطوات,
Story,قصة,
Story Caption,وصف القصة,
Story Reaction,تفاعل القصة,
Story Reply,رد القصة,
Strategic Alerts,التنبيهات الاستراتيجية,
Strategic Insights,رؤى استراتيجية,
Streak,سلسلة أيام متتالية,
Streak Configuration,تكوين الأيام المتتالية,
Streak Day,يوم متتالي,
Streak Day Starts At (Hour),بداية يوم السلسلة (ساعة),
Streak Days,أيام متتالية,
Streak Multiplier Per Day,مضاعف اليوم المتتالي,
Streak Resets After (Missed Days),إعادة تعيين السلسلة بعد (أيام فائتة),
"Student enrollment pipelines, course interest tracking, alumni engagement, and financial aid workflows",مسارات تسجيل الطلاب وتتبع الاهتمام بالدورات والتواصل مع الخريجين وسير عمل المساعدات المالية,
Subject,الموضوع,
Subject is required for Email templates,الموضوع مطلوب لقوالب البريد الإلكتروني,
Success,نجاح,
Successful,ناجح,
Suggested Opening Line,عبارة الافتتاح المقترحة,
Sunday,الأحد,
"Support tickets, SLA management, customer satisfaction",تذاكر الدعم، إدارة اتفاقيات الخدمة، رضا العملاء,
Suspicious Activity Threshold,حد النشاط المشبوه,
Switch to Kanban View,التبديل لعرض كانبان,
Synced,مُزامَن,
System Manager,مدير النظام,
System Status,حالة النظام,
TEAM SIZE,حجم الفريق,
TOP PERFORMER,الأفضل أداءً,
TOTAL LEADS,إجمالي العملاء المحتملين,
TOTAL OPPS,إجمالي الفرص,
TOTAL PIPELINE,إجمالي المسار,
Tag,وسم,
Tag Label,تسمية الوسم,
Target,الهدف,
Target Audience Segment,شريحة الجمهور المستهدفة,
Target Count,عدد الهدف,
Target Countries (ISO codes),الدول المستهدفة (رموز ISO),
Target Day,يوم الهدف,
Target DocType,نوع المستند المستهدف,
Target Event,الحدث المستهدف,
Target Platforms,المنصات المستهدفة,
Target Segment,الشريحة المستهدفة,
Target Value,القيمة المستهدفة,
Task,مهمة,
Tasks,المهام,
Tax Refugee,لاجئ ضريبي,
Tax Refugees,لاجئون ضريبيون,
Team,الفريق,
Team Collaboration,تعاون الفريق,
Team Conversions (MTD),تحويلات الفريق (منذ بداية الشهر),
Team Dashboard,لوحة الفريق,
Team Gamification,تحفيز الفريق,
Team Leaderboards,لوحات متصدري الفريق,
Team Members,أعضاء الفريق,
Team Organization,تنظيم الفريق,
Team Performance,أداء الفريق,
Tech,التقنية,
Tech Founder,مؤسس تقني,
Tech Founders,مؤسسون تقنيون,
Telegram,تيليغرام,
Template,القالب,
Template Name,اسم القالب,
Template rendering error: {0},خطأ في عرض القالب: {0},
Template syntax error: {0},خطأ في صياغة القالب: {0},
Templates,القوالب,
Term for Agent,مصطلح الوكيل,
Term for Company,مصطلح الشركة,
Term for Deal,مصطلح الصفقة,
Term for Lead,مصطلح العميل المحتمل,
Term for Product,مصطلح المنتج,
Terminology,المصطلحات,
"The AuraCRM data model — 66 DocTypes organized into leads, pipeline, campaigns, gamification, AI, and communications.",نموذج بيانات AuraCRM — 66 نوع مستند منظمة في مجموعات: العملاء المحتملين، المسار، الحملات، التحفيز، الذكاء الاصطناعي، والاتصالات.,
The event participants must accumulate,الحدث الذي يجب على المشاركين تجميعه,
"The graph above shows all CRM modules. Click any node to see details, double-click to navigate.",يعرض الرسم البياني أعلاه جميع وحدات CRM. انقر على أي عنصر للتفاصيل، انقر مزدوجاً للتنقل.,
The visual pipeline board is your command center. Here's what you can do:,لوحة المسار البصرية هي مركز قيادتك. إليك ما يمكنك فعله:,
This Month,هذا الشهر,
This Week,هذا الأسبوع,
This challenge is not active,هذا التحدي غير نشط,
This contact is already in the list,جهة الاتصال هذه موجودة بالفعل في القائمة,
This feature requires a Premium license,تتطلب هذه الميزة ترخيصاً مميزاً,
"This onboarding guide will help you learn the platform step by step. We'll start with a quick overview of how everything connects, then you'll choose your role to see a personalized walkthrough.",سيساعدك دليل التعريف هذا على تعلم المنصة خطوة بخطوة. سنبدأ بنظرة عامة سريعة عن كيفية ارتباط كل شيء، ثم ستختار دورك لمشاهدة جولة مخصصة.,
"This will create default events, badges, and levels. Continue?",سيتم إنشاء أحداث وشارات ومستويات افتراضية. هل تريد المتابعة؟,
Thread,سلسلة,
Threads,سلاسل,
Thursday,الخميس,
Tier,المستوى,
TikTok,تيك توك,
TikTok Access Token,رمز وصول تيك توك,
Time Decay,تناقص زمني,
Time Period,الفترة الزمنية,
Timeline,الجدول الزمني,
Timestamp,الطابع الزمني,
Timestamps,الطوابع الزمنية,
Timezone,المنطقة الزمنية,
Title,العنوان,
To Date,إلى تاريخ,
Today,اليوم,
Today Assigned,المعيّنة اليوم,
Toggle Sidebar,تبديل الشريط الجانبي,
Token Count,عدد الرموز,
Tone,النبرة,
Top Post,أفضل منشور,
Topic,الموضوع,
Total,الإجمالي,
Total Assigned,إجمالي المعيّنين,
Total Budget,إجمالي الميزانية,
Total Clicks,إجمالي النقرات,
Total Contacts,إجمالي جهات الاتصال,
Total Converted,إجمالي المحوّلين,
Total Deals (7d),إجمالي الصفقات (7 أيام),
Total Engagement,إجمالي التفاعل,
Total Entries,إجمالي الإدخالات,
Total Impressions,إجمالي المشاهدات,
Total Leads,إجمالي العملاء المحتملين,
Total Members,إجمالي الأعضاء,
Total Open Leads,إجمالي العملاء المحتملين المفتوحين,
Total Participants,إجمالي المشاركين,
Total Points,إجمالي النقاط,
Total Posts,إجمالي المنشورات,
Total Reach,إجمالي الوصول,
Total Revenue,إجمالي الإيرادات,
Total Revenue (7d),إجمالي الإيرادات (7 أيام),
Total Steps,إجمالي الخطوات,
Total Time (seconds),الوقت الإجمالي (ثواني),
Total Value,القيمة الإجمالية,
Total Value (K),القيمة الإجمالية (ألف),
Total Views,إجمالي المشاهدات,
"Total pipeline value, weighted forecast, expected close dates, and revenue trend charts",إجمالي قيمة المسار والتوقعات المرجحة وتواريخ الإغلاق المتوقعة ومخططات اتجاه الإيرادات,
Touchpoint Type,نوع نقطة التواصل,
Touchpoint Weights,أوزان نقاط التواصل,
Touchpoints,نقاط التواصل,
Track & Coach Your Team,تتبع ودرّب فريقك,
"Track competitor moves, win/loss analysis, and battle cards for your team",تتبع تحركات المنافسين، تحليل الفوز/الخسارة، وبطاقات المواجهة لفريقك,
Track conversion rates at each pipeline stage to identify bottlenecks,تتبع معدلات التحويل في كل مرحلة لتحديد الاختناقات,
Track customer happiness and identify improvement opportunities:,تتبع سعادة العملاء وحدد فرص التحسين:,
Track how accurate your pipeline forecasts are over time and improve prediction models,تتبع مدى دقة توقعات مسارك عبر الزمن وحسّن نماذج التنبؤ,
"Track open rates, click rates, response rates, and conversions per campaign step",تتبع معدلات الفتح والنقر والاستجابة والتحويل لكل خطوة في الحملة,
Tracking Link,رابط التتبع,
Transfer,تحويل,
Travel,السفر,
"Trial-to-paid conversion tracking, usage-based scoring, churn prediction, and MRR analytics",تتبع التحويل من التجربة للدفع والتسجيل حسب الاستخدام وتنبؤ التسرب وتحليلات الإيرادات الشهرية,
Trigger,المُحفّز,
Trigger DocType,نوع مستند المُحفّز,
Trigger Event,حدث التشغيل,
Trigger Field,حقل المُحفّز,
Trigger Keywords,كلمات المُحفّز,
Trigger Segment,شريحة المُحفّز,
Trigger Type,نوع المُحفّز,
Trigger Value,قيمة المُحفّز,
Triggered By,مُفعّل بواسطة,
TripAdvisor,تريب أدفايزر,
TrueCaller,تروكولر,
TrueCaller API Key,مفتاح API تروكولر,
Truecaller Result,نتيجة تروكولر,
Trustpilot,تراست بايلوت,
Tuesday,الثلاثاء,
Twitter,تويتر,
Twitter/X Bearer Token,رمز حامل تويتر/X,
Type,النوع,
UTC,UTC,
UTM Parameters,معلمات UTM,
Unable to load settings,تعذر تحميل الإعدادات,
Unassigned Leads,العملاء المحتملين غير المعينين,
"Understand exactly why you win or lose deals — by competitor, pricing, timing, and team",افهم بالضبط لماذا تربح أو تخسر الصفقات — حسب المنافس والتسعير والتوقيت والفريق,
"Understand why deals are won or lost — by competitor, industry, deal size, and stage",افهم لماذا تُربح أو تُخسر الصفقات — حسب المنافس والصناعة وحجم الصفقة والمرحلة,
Unified Comms,الاتصالات الموحدة,
"Unique identifier, e.g. call_completed, deal_won","معرف فريد، مثال: call_completed, deal_won",
Unit Type,نوع الوحدة,
Unknown,غير معروف,
Unsubscribed,ملغي الاشتراك,
Upgrade to Premium,الترقية إلى المميز,
Urgent,عاجل,
Url,الرابط,
Use AuraCRM's analytics and AI to make strategic decisions with confidence:,استخدم تحليلات وذكاء AuraCRM الاصطناعي لاتخاذ قرارات استراتيجية بثقة:,
Used in AI-generated review responses,يُستخدم في ردود التقييم المولّدة بالذكاء الاصطناعي,
User,المستخدم,
User to notify on SLA breach,المستخدم المراد إخطاره عند انتهاك اتفاقية الخدمة,
Username,اسم المستخدم,
VIP Detection,كشف VIP,
VP,نائب الرئيس,
Value,القيمة,
Value Changed,تم تغيير القيمة,
Value to compare against. For in_list: comma-separated values,القيمة للمقارنة. لـ in_list: قيم مفصولة بفواصل,
Vapi API Key,مفتاح API Vapi,
Variable Mapping,تعيين المتغيرات,
Variables,المتغيرات,
Verified At,تم التحقق في,
Via AppExchange,عبر AppExchange,
Via CTI,عبر CTI,
Via Pardot,عبر Pardot,
Video,فيديو,
Video Script,سكربت الفيديو,
Video personalization,تخصيص الفيديو,
View,عرض,
View Log,عرض السجل,
View Pipeline,عرض المسار,
View Profile,عرض الملف الشخصي,
Viewer,مُشاهد,
Visible Contact Fields,حقول جهة الاتصال المرئية,
Visible Contact Fields must be valid JSON,حقول جهة الاتصال المرئية يجب أن تكون JSON صالح,
Visible Fields,الحقول المرئية,
Visible to All Agents,مرئي لجميع الوكلاء,
Visual Dashboards,لوحات معلومات مرئية,
Visual Pipeline Board,لوحة المسار البصرية,
"Visual calendar to plan, schedule, and track content across all channels",تقويم بصري لتخطيط وجدولة وتتبع المحتوى عبر جميع القنوات,
Voice AI agents,وكلاء الذكاء الاصطناعي الصوتي,
Voicemail,بريد صوتي,
WA Broadcast,بث واتساب,
WA Chatbot,روبوت واتساب,
Wait,انتظار,
Warm (60-79),دافئ (60-79),
Warn,تحذير,
Website,الموقع الإلكتروني,
Website Visit,زيارة الموقع,
Wednesday,الأربعاء,
Weekly,أسبوعي,
Weekly Deals Target,هدف الصفقات الأسبوعية,
Weeks,أسابيع,
Weight,الوزن,
Welcome,ترحيب,
Welcome to AuraCRM!,مرحباً بك في AuraCRM!,
What best describes your role?,ما الذي يصف دورك بشكل أفضل؟,
What must the agent achieve to earn this badge?,ما الذي يجب أن يحققه الوكيل للحصول على هذه الشارة؟,
What the agent sees when calling a contact in this classification,ما يراه الوكيل عند الاتصال بجهة اتصال في هذا التصنيف,
WhatsApp,واتساب,
WhatsApp Account,حساب واتساب,
WhatsApp Cloud API Token,رمز واتساب Cloud API,
WhatsApp Configuration,تكوين واتساب,
WhatsApp Native Integration,تكامل واتساب الأصلي,
WhatsApp Phone Number ID,معرف رقم هاتف واتساب,
WhatsApp Replied,تم الرد عبر واتساب,
WhatsApp Reply,رد واتساب,
WhatsApp Support,دعم واتساب,
WhatsApp Template,قالب واتساب,
When,عند,
When the next step should be executed,متى يجب تنفيذ الخطوة التالية,
Which channels produce the highest quality leads? Track from first touch to closed deal,أي القنوات تنتج أعلى جودة من العملاء المحتملين؟ تتبع من اللمسة الأولى حتى إغلاق الصفقة,
"Which marketing campaigns, salespeople, and channels drive the most revenue?",أي الحملات التسويقية ومندوبي المبيعات والقنوات تحقق أكبر إيرادات؟,
Who did what today — complete activity feed across all teams and channels,من فعل ماذا اليوم — تغذية نشاط كاملة عبر جميع الفرق والقنوات,
"Who did what, when — complete activity tracking across calls, emails, meetings, and tasks",من فعل ماذا ومتى — تتبع نشاط كامل عبر المكالمات والبريد والاجتماعات والمهام,
Why AuraCRM? — Competitive Comparison,لماذا AuraCRM؟ — المقارنة التنافسية,
Win/Loss Analysis,تحليل الفوز/الخسارة,
Win/Loss Intelligence,ذكاء الفوز/الخسارة,
Working hours and availability,ساعات العمل والتوفر,
Workload,عبء العمل,
Workspaces,مساحات العمل,
Wrong Number,رقم خاطئ,
YOUR ROLE,دورك,
You are already participating in this challenge,أنت مشارك بالفعل في هذا التحدي,
You are now,أنت الآن,
You do not have the '{0}' capability. Contact your administrator.,لا تملك صلاحية '{0}'. تواصل مع المسؤول.,
You don't have access to this workspace,ليس لديك صلاحية الوصول لهذه المساحة,
You now have a solid understanding of AuraCRM. Here's what to do next:,لديك الآن فهم متين لـ AuraCRM. إليك ما يجب فعله بعد ذلك:,
You're All Set!,أنت جاهز!,
YouTube,يوتيوب,
Your Campaign Engine,محرك حملاتك,
Your Executive Dashboard,لوحة معلوماتك التنفيذية,
Your Pipeline & Deal Management,مسارك وإدارة الصفقات,
Your Support Command Center,مركز قيادة الدعم,
Your Visual CRM Platform,منصتك البصرية لإدارة العملاء,
Your property has appreciated by {0}%! Contact us to learn more.,عقارك ارتفعت قيمته بنسبة {0}%! تواصل معنا لمعرفة المزيد.,
Your property has appreciated by {0}%! Contact us.,عقارك ارتفعت قيمته بنسبة {0}%! تواصل معنا.,
Your unified CRM platform — explore the module map below to navigate.,منصتك الموحدة لإدارة العملاء — استكشف خريطة الوحدات أدناه للتنقل.,
Zia AI,Zia AI,
active agents,وكلاء نشطون,
active rules,قواعد نشطة,
all clear,كل شيء واضح,
anthropic,anthropic,
ar,ar,
assigned this month,تم تعيينه هذا الشهر,
badges,شارات,
base_points × multiplier (including streak bonus),النقاط_الأساسية × المضاعف (شاملاً مكافأة السلسلة),
bonus,مكافأة,
bonus points!,نقاط مكافأة!,
classified,مصنّف,
complete,مكتمل,
contacts,جهات اتصال,
contains,contains,
daily,daily,
day streak,يوم متتالي,
day streak!,يوم متتالي!,
days,أيام,
deals,صفقات,
deals won,صفقات مربوحة,
"e.g. 1.5 = 50% bonus, 2.0 = double points",مثال: 1.5 = 50% مكافأة، 2.0 = نقاط مضاعفة,
"e.g. 100 calls, 1000 points, 30 streak days",مثال: 100 مكالمة، 1000 نقطة، 30 يوم متتالي,
"e.g. source, territory, industry",مثال: المصدر، المنطقة، الصناعة,
en,en,
equals,يساوي,
events,أحداث,
geographic,جغرافي,
greater_than,أكبر من,
in_list,في القائمة,
is_not_set,غير محدد,
is_set,محدد,
lead-to-customer,عميل محتمل إلى عميل,
leads,عملاء محتملين,
left,متبقي,
less_than,أقل من,
levels,مستويات,
load_based,مبني على الحمل,
manual_pool,مجموعة يدوية,
mixed,مختلط,
monthly,شهري,
needs attention,يحتاج انتباه,
new,جديد,
not_equals,لا يساوي,
openai,openai,
performance_based,مبني على الأداء,
pts,نقطة,
pts to,نقطة حتى,
rate,معدل,
round_robin,دوري,
skill_based,مبني على المهارات,
team average,متوسط الفريق,
this,هذا,
this month,هذا الشهر,
weekly,أسبوعي,
weighted_round_robin,دوري موزون,
won,مربوح,
{0} of {1} breaches resolved,تم حل {0} من {1} خرق,
⏭ Next Stage,⏭ المرحلة التالية,
⚠️ Possible duplicates found: {0},⚠️ تم العثور على تكرارات محتملة: {0},
✅ No active breaches!,✅ لا توجد انتهاكات نشطة!,
🏆 Badge Earned!,🏆 تم الحصول على شارة!,
💬 WhatsApp,💬 واتساب,
📊 Opportunities,📊 الفرص,
📞 Call,📞 اتصال,
📞 Call Contact,📞 اتصال بجهة الاتصال,
📧 Email,📧 بريد إلكتروني,
🔀 Merge candidates found: {0}. Use the merge tool to combine records.,🔀 تم العثور على مرشحين للدمج: {0}. استخدم أداة الدمج لدمج السجلات.,
🔮 360° View,🔮 عرض 360°,
